rank,run_id,model,branch,best_val_miou,best_epoch,last_val_miou,status,report_path,evidence_path
1,R016-depth-norm-contract-v1,dformerv2_mid_fusion,exp/R016-depth-norm-contract-v1,0.541121,49,0.527420,completed_success_official_depth_contract_alignment,reports/R016-depth-norm-contract-v1.md,final daima/miou_list/R016_depth_norm_official_baseline_retry1.md
2,R036-c34-bounded-depth-residual-v1,dformerv2_c34_bounded_depth_residual,exp/R036-c34-bounded-depth-residual-v1,0.539790,44,0.528882,completed_partial_positive_below_corrected_baseline,reports/R036-c34-bounded-depth-residual-v1.md,final daima/miou_list/R036_c34_bounded_depth_residual_run01.md
3,R034-masg-gated-fusion-v1,dformerv2_masg_fusion,exp/R034-masg-gated-fusion-v1,0.539322,40,0.518738,completed_negative_unstable_below_corrected_baseline,reports/R034-masg-gated-fusion-v1.md,final daima/miou_list/R034_masg_gated_fusion_run01.md
4,R015-label-ignore-contract-v1,dformerv2_mid_fusion,exp/R015-label-ignore-contract-v1,0.537398,45,0.499418,completed_success_official_label_contract_reset,reports/R015-label-ignore-contract-v1.md,final daima/miou_list/R015_label_ignore_official_baseline.md
5,R027-primary-residual-depth-injection-v1,dformerv2_primary_residual_depth,exp/R027-primary-residual-depth-injection-v1,0.536739,41,0.505286,completed_partial_positive_unstable_below_corrected_baseline,reports/R027-primary-residual-depth-injection-v1.md,final daima/miou_list/R027_primary_residual_depth_run01.md
6,R032-simplefpn-c1-detail-gate-v1,dformerv2_simplefpn_c1_detail_gate,exp/R032-simplefpn-c1-detail-gate-v1,0.536603,50,0.536603,completed_partial_positive_below_corrected_baseline,reports/R032-simplefpn-c1-detail-gate-v1.md,final daima/miou_list/R032_simplefpn_c1_detail_gate_run01.md
7,R030-gated-fusion-residual-top-v1,dformerv2_gated_fusion_residual_top,exp/R030-gated-fusion-residual-top-v1,0.536454,42,0.529803,completed_partial_positive_below_corrected_baseline,reports/R030-gated-fusion-residual-top-v1.md,final daima/miou_list/R030_gated_fusion_residual_top_run01.md
8,R037-dgl-minimal-v1,dformerv2_dgl_minimal,exp/R037-dgl-minimal-v1,0.534656,42,0.530153,completed_partial_stable_below_corrected_baseline,reports/R037-dgl-minimal-v1.md,final daima/miou_list/R037_dgl_minimal_run01.md
9,R022-ham-dropout-parity-v1,dformerv2_ham_decoder,exp/R022-ham-dropout-parity-v1,0.534332,50,0.534332,completed_partial_positive_below_corrected_baseline,reports/R022-ham-dropout-parity-v1.md,final daima/miou_list/R022_ham_dropout_parity_run01.md
10,R039-miim-c4-lite-v1,dformerv2_miim_c4_lite,exp/R039-miim-c4-lite-v1,0.534131,41,0.509767,completed_negative_unstable_below_corrected_baseline,reports/R039-miim-c4-lite-v1.md,final daima/miou_list/R039_miim_c4_lite_run01.md
11,R033-simplefpn-ham-logit-fusion-v1,dformerv2_simplefpn_ham_logit_fusion,exp/R033-simplefpn-ham-logit-fusion-v1,0.533020,49,0.528883,completed_partial_positive_below_corrected_baseline,reports/R033-simplefpn-ham-logit-fusion-v1.md,final daima/miou_list/R033_simplefpn_ham_logit_fusion_run01.md
12,R020-depth-blend-adapter-v1,dformerv2_branch_depth_blend_adapter,exp/R020-depth-blend-adapter-v1,0.532924,41,0.503238,completed_partial_positive_stabilized_below_corrected_baseline,reports/R020-depth-blend-adapter-v1.md,final daima/miou_list/R020_branch_depth_blend_adapter_run01.md
13,R025-depth-encoder-bn-eval-v1,dformerv2_depth_encoder_bn_eval,exp/R025-depth-encoder-bn-eval-v1,0.532572,47,0.496030,completed_partial_positive_unstable_below_corrected_baseline,reports/R025-depth-encoder-bn-eval-v1.md,final daima/miou_list/R025_depth_encoder_bn_eval_run01.md
14,R019-branch-depth-adapter-v1,dformerv2_branch_depth_adapter,exp/R019-branch-depth-adapter-v1,0.532539,46,0.495229,completed_partial_positive_unstable_below_corrected_baseline,reports/R019-branch-depth-adapter-v1.md,final daima/miou_list/R019_branch_depth_adapter_run01.md
15,R031-simplefpn-classifier-dropout-v1,dformerv2_simplefpn_classifier_dropout,exp/R031-simplefpn-classifier-dropout-v1,0.531544,40,0.525760,completed_negative_below_corrected_baseline,reports/R031-simplefpn-classifier-dropout-v1.md,final daima/miou_list/R031_simplefpn_classifier_dropout_run01.md
16,R038-dscf-c4-lite-v1,dformerv2_dscf_c4_lite,exp/R038-dscf-c4-lite-v1,0.530810,38,0.530308,completed_negative_below_corrected_baseline,reports/R038-dscf-c4-lite-v1.md,final daima/miou_list/R038_dscf_c4_lite_run01.md
17,R024-geometry-primary-ham-decoder-v1,dformerv2_geometry_primary_ham_decoder,exp/R024-geometry-primary-ham-decoder-v1,0.530186,45,0.529383,completed_stable_positive_below_corrected_baseline,reports/R024-geometry-primary-ham-decoder-v1.md,final daima/miou_list/R024_geometry_primary_ham_decoder_run01.md
18,R035-gate-balance-reg-v1,dformerv2_gate_balance_reg,exp/R035-gate-balance-reg-v1,0.529498,38,0.521308,completed_negative_below_053,reports/R035-gate-balance-reg-v1.md,final daima/miou_list/R035_gate_balance_reg_run01.md
19,R017-rgb-bgr-contract-v1,dformerv2_mid_fusion,exp/R017-rgb-bgr-contract-v1,0.529090,38,0.523078,completed_negative_contract_gate,reports/R017-rgb-bgr-contract-v1.md,final daima/miou_list/R017_rgb_bgr_official_contract.md
20,R040-c4-lowrank-depth-prompt-v1,dformerv2_c4_lowrank_depth_prompt,exp/R040-c4-lowrank-depth-prompt-v1,0.527946,37,0.524679,completed_negative_below_053,reports/R040-c4-lowrank-depth-prompt-v1.md,final daima/miou_list/R040_c4_lowrank_depth_prompt_run01.md
